2019-04-24 17:01:59,268, INFO, botID1212,botinstance2323,task000,None,SAO_tracker w1916_Pivot IMES QUALIF TRANS_Chart_03.jpg Image downloaded,None,None
2019-04-24 17:01:59,298, INFO, botID1212,botinstance2323,task000,None,SAO_tracker w1916_Pivot IMES QUALIF TRANS_Chart_04.jpg Image downloaded,None,None
2019-04-24 17:01:59,704, INFO, botID1212,botinstance2323,task000,None,SAO_tracker w1916_Pivot IMES QUALIF TRANS_Chart_05.jpg Image downloaded,None,None
2019-04-24 17:01:59,763, INFO, botID1212,botinstance2323,task000,None,SAO_tracker w1916_Pivot IMES QUALIF TRANS_Chart_06.jpg Image downloaded,None,None
2019-04-24 17:01:59,801, INFO, botID1212,botinstance2323,task000,None,SAO_tracker w1916_Pivot IMES RAN_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:01:59,835, INFO, botID1212,botinstance2323,task000,None,SAO_tracker w1916_Pivot IMES RAN_Chart_02.jpg Image downloaded,None,None
2019-04-24 17:01:59,891, INFO, botID1212,botinstance2323,task000,None,SAO_tracker w1916_Pivot IMES RAN_Chart_03.jpg Image downloaded,None,None
2019-04-24 17:01:59,945, INFO, botID1212,botinstance2323,task000,None,SAO_tracker w1916_Pivot IMES RAN_Chart_04.jpg Image downloaded,None,None
2019-04-24 17:02:00,033, INFO, botID1212,botinstance2323,task000,None,SAO_tracker w1916_Pivot Trans_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:00,118, INFO, botID1212,botinstance2323,task000,None,SAO_tracker w1916_Pivot RAN_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:11,405, INFO, botID1212,botinstance2323,task000,None,VDR_CRZ_new_w16_SU_CRZ_CIQ _Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:11,588, INFO, botID1212,botinstance2323,task000,None,VDR_CRZ_new_w16_SU VDR_CRZ_FC_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:11,708, INFO, botID1212,botinstance2323,task000,None,VDR_CRZ_new_w16_SU VDR_CRZ_MEL_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:11,795, INFO, botID1212,botinstance2323,task000,None,VDR_CRZ_new_w16_SU VDR_CRZ_COLLAGE_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:21,669, INFO, botID1212,botinstance2323,task000,None,MBH_RATP_w16_new_MBH W-1_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:21,805, INFO, botID1212,botinstance2323,task000,None,MBH_RATP_w16_new_MBH en Prod_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:34,528, INFO, botID1212,botinstance2323,task000,None,RATP_IMES_2019.04.22_ChangeHistory_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:34,674, INFO, botID1212,botinstance2323,task000,None,RATP_IMES_2019.04.22_RATP_ILS_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:34,773, INFO, botID1212,botinstance2323,task000,None,RATP_IMES_2019.04.22_RATP_CIQ_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:34,966, INFO, botID1212,botinstance2323,task000,None,RATP_IMES_2019.04.22_RATP_MEMO_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:35,067, INFO, botID1212,botinstance2323,task000,None,RATP_IMES_2019.04.22_RATP_FC_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:35,139, INFO, botID1212,botinstance2323,task000,None,RATP_IMES_2019.04.22_RATP_CHECK MEMO_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:35,217, INFO, botID1212,botinstance2323,task000,None,RATP_IMES_2019.04.22_RATP_CHECK_CIQ_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:35,355, INFO, botID1212,botinstance2323,task000,None,RATP_IMES_2019.04.22_Vérifier les alarmes OMC_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:41,155, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_Active_Charge_Artif_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:41,184, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_Active_Charge_Artif_Chart_02.jpg Image downloaded,None,None
2019-04-24 17:02:41,240, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_Active_Charge_Artif_Chart_03.jpg Image downloaded,None,None
2019-04-24 17:02:41,260, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_Active_Charge_Artif_Chart_04.jpg Image downloaded,None,None
2019-04-24 17:02:41,401, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_Active_Charge_Artif_Chart_05.jpg Image downloaded,None,None
2019-04-24 17:02:41,425, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_Active_Charge_Artif_Chart_06.jpg Image downloaded,None,None
2019-04-24 17:02:41,444, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_Active_Charge_Artif_Chart_07.jpg Image downloaded,None,None
2019-04-24 17:02:41,464, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_Active_Charge_Artif_Chart_08.jpg Image downloaded,None,None
2019-04-24 17:02:41,488, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_Active_Charge_Artif_Chart_09.jpg Image downloaded,None,None
2019-04-24 17:02:41,511, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_Active_Charge_Artif_Chart_10.jpg Image downloaded,None,None
2019-04-24 17:02:41,536, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:41,557, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_02.jpg Image downloaded,None,None
2019-04-24 17:02:41,579, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_03.jpg Image downloaded,None,None
2019-04-24 17:02:41,600, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_04.jpg Image downloaded,None,None
2019-04-24 17:02:41,638, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_05.jpg Image downloaded,None,None
2019-04-24 17:02:41,664, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_06.jpg Image downloaded,None,None
2019-04-24 17:02:41,682, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_07.jpg Image downloaded,None,None
2019-04-24 17:02:41,700, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_08.jpg Image downloaded,None,None
2019-04-24 17:02:41,726, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_09.jpg Image downloaded,None,None
2019-04-24 17:02:41,750, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_10.jpg Image downloaded,None,None
2019-04-24 17:02:41,771, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_11.jpg Image downloaded,None,None
2019-04-24 17:02:41,793, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_12.jpg Image downloaded,None,None
2019-04-24 17:02:41,812, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_13.jpg Image downloaded,None,None
2019-04-24 17:02:41,833, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_14.jpg Image downloaded,None,None
2019-04-24 17:02:41,856, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_LDP_SWAP_3K6K_Chart_15.jpg Image downloaded,None,None
2019-04-24 17:02:41,881, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_FTTH_Chart_01.jpg Image downloaded,None,None
2019-04-24 17:02:41,902, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_FTTH_Chart_02.jpg Image downloaded,None,None
2019-04-24 17:02:41,919, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_FTTH_Chart_03.jpg Image downloaded,None,None
2019-04-24 17:02:41,939, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_FTTH_Chart_04.jpg Image downloaded,None,None
2019-04-24 17:02:41,963, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_FTTH_Chart_05.jpg Image downloaded,None,None
2019-04-24 17:02:41,992, INFO, botID1212,botinstance2323,task000,None,GCR_22.04.2019_Part2_SU_FTTH_Chart_06.jpg Image downloaded,None,None
